sku,msku,panels,Status,Stauts,,image,,,,,
combo8,combo8,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo9,combo9,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
Combooff,Combooff,Rudrav Meesho,Inactive,"Paused, Combo",,,#N/A,,,,
ST-chimmi bts-yellow-FBA,CSTE_0001_ST_Bts_Pillow_Chimmy,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
W8-M5MO-3VU8,CSTE_0001_ST_Bts_Pillow_Chimmy,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
BTS_softtoy_Chimmy,CSTE_0001_ST_Bts_Pillow_Chimmy,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
MG-N7SY-ZZ6A,CSTE_0001_ST_Bts_Pillow_Chimmy,CSTE AMAZON,Active,Active Listing,,#REF!,https://m.media-amazon.com/images/I/61wF-YH036L.jpg,,,,
ST-Chimmy bts-yellow,CSTE_0001_ST_Bts_Pillow_Chimmy,CSTE AMAZON,Active,Active Listing,,#REF!,https://m.media-amazon.com/images/I/61wF-YH036L.jpg,,,,
BTS_CHIMMY,CSTE_0001_ST_Bts_Pillow_Chimmy,GL FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/xif0q/stuffed-toy/b/5/i/plush-throw-pillow-bts-bt21-throw-pillows-chimmy-30-rudrav-original-imagx9p9xsrcjghz.jpeg,,,,
chimmy_pillow_1,CSTE_0001_ST_Bts_Pillow_Chimmy,GL FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/l22724w0/shopsy-stuffed-toy/k/3/s/plush-throw-pillow-bts-bt21-throw-pillows-chimmy-rudrav-original-imagdhu4hzxasput.jpeg,,,,
Chimmy_yellow,CSTE_0001_ST_Bts_Pillow_Chimmy,CSTE FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/xif0q/stuffed-toy/b/5/i/plush-throw-pillow-bts-bt21-throw-pillows-chimmy-30-rudrav-original-imagx9p9xsrcjghz.jpeg,,,,
FBA_yellow_dog,CSTE_0001_ST_Bts_Pillow_Chimmy,CSTE FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/klzhq4w0/stuffed-toy/x/o/z/pillow-in-look-like-yellow-dog-stuffed-animal-toy-show-your-mood-original-imagyznddjznknad.jpeg,,,,
32052087,CSTE_0001_ST_Bts_Pillow_Chimmy,Rudrav Meesho,In Progress,,,,,,,,
BTS_CHIMMY,CSTE_0001_ST_Bts_Pillow_Chimmy,Rudrav Meesho,In Progress,,,,,,,,
bts_chimmy_1,CSTE_0001_ST_Bts_Pillow_Chimmy,Rudrav Meesho,In Progress,,,,,,,,
BTS-mang-tata,CSTE_0002_ST_Bts_Pillow_Tata,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
Pillows (Tata)-fba,CSTE_0002_ST_Bts_Pillow_Tata,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
ST-BTS-tata-van-chimmy-cooky-FBA,CSTE_0002_ST_Bts_Pillow_Tata,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
D1-Q4TX-Q99T,CSTE_0002_ST_Bts_Pillow_Tata,CSTE AMAZON,Active,Active Listing,,#REF!,https://m.media-amazon.com/images/I/41l2eNauBXL.jpg,,,,
Z9-K268-LCBG,CSTE_0002_ST_Bts_Pillow_Tata,CSTE AMAZON,Active,Active Listing,,#REF!,https://m.media-amazon.com/images/I/71zSxuWGS-L.jpg,,,,
ST-TATA- bts-red,CSTE_0002_ST_Bts_Pillow_Tata,CSTE AMAZON,Active,Active Listing,,#REF!,https://m.media-amazon.com/images/I/41oebTCUr0L.jpg,,,,
Tata_pillow_map,CSTE_0002_ST_Bts_Pillow_Tata,GL FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/xif0q/stuffed-toy/x/s/m/bts-bt21-kpop-merch-plush-large-14-cushion-cover-rucksack-plush-original-imaghva4h6dg5mym.jpeg,,,,
BTS_TATA,CSTE_0002_ST_Bts_Pillow_Tata,GL FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/xif0q/stuffed-toy/i/z/l/plush-throw-pillow-bts-bt21-throw-pillows-tata-30-rudrav-original-imagx9pbxvw2sw54.jpeg,,,,
tatapillow_map,CSTE_0002_ST_Bts_Pillow_Tata,CSTE FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/xif0q/pillow/q/7/d/35-tata-1233-1-20132-bysoft-original-imagr6rexaxhs72f.jpeg,,,,
Tata-Pillow-Soft-1,CSTE_0002_ST_Bts_Pillow_Tata,CSTE FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/xif0q/stuffed-toy/l/e/w/tata-plush-heart-throw-pillow-animal-stuffed-toys-pillow-original-imagg9xg4rcnzccf.jpeg,,,,
FBA_pillow red _heart,CSTE_0002_ST_Bts_Pillow_Tata,CSTE FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/klzhq4w0/stuffed-toy/e/l/l/pillow-in-heart-shape-red-colour-with-free-pencil-stuffed-animal-original-imagyznd4k63cyyn.jpeg,,,,
tata_pillow_1,CSTE_0002_ST_Bts_Pillow_Tata,GL FK,Active,Active Listing,,#REF!,,,,,
BTS_TATA,CSTE_0002_ST_Bts_Pillow_Tata,Rudrav Meesho,In Progress,,,,,,,,
bts_tata_1,CSTE_0002_ST_Bts_Pillow_Tata,Rudrav Meesho,In Progress,,,,,,,,
g1Mr4PXp,CSTE_0002_ST_Bts_Pillow_Tata,CSTE MEESHO,In Progress,,,,,,,,
Throw Pillows (Koya)-fba,CSTE_0003_ST_Bts_Pillow_Koya,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
ST-Koya-bts-blue_FBA,CSTE_0003_ST_Bts_Pillow_Koya,CSTE AMAZON,Active,Active Listing,,#REF!,https://m.media-amazon.com/images/I/71qwaXX3Z6L.jpg,,,,
Soft Toys_Koya-FBA,CSTE_0003_ST_Bts_Pillow_Koya,CSTE AMAZON,Active,Active Listing,,#REF!,https://m.media-amazon.com/images/I/71qwaXX3Z6L.jpg,,,,
BTS_KOYA,CSTE_0003_ST_Bts_Pillow_Koya,GL FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/xif0q/stuffed-toy/a/g/2/plush-throw-pillow-bts-bt21-throw-pillows-koya-30-rudrav-original-imagx9pcyqjzhpzh.jpeg,,,,
koya_pillow_1,CSTE_0003_ST_Bts_Pillow_Koya,GL FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/l22724w0/shopsy-stuffed-toy/1/q/u/plush-throw-pillow-bts-bt21-throw-pillows-koya-rudrav-original-imagdhtj7b9ssgtk.jpeg,,,,
fusked bts soft toy- koya,CSTE_0003_ST_Bts_Pillow_Koya,CSTE FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/jynat8w0/stuffed-toy/y/g/n/cute-cartoon-plush-doll-tata-cooky-chimmy-shooky-mang-van-toy-10-original-imafgqtbqhuv2zkk.jpeg,,,,
32546542,CSTE_0003_ST_Bts_Pillow_Koya,Rudrav Meesho,In Progress,,,,,,,,
BTS_KOYA,CSTE_0003_ST_Bts_Pillow_Koya,Rudrav Meesho,In Progress,,,,,,,,
BTS-Mang-cooky,CSTE_0004_ST_Bts_Pillow_Mang,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
BTS-mang-koya,CSTE_0004_ST_Bts_Pillow_Mang,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
BTS-mang-shooky,CSTE_0004_ST_Bts_Pillow_Mang,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
Bts_Pillow_Mang1_fba,CSTE_0004_ST_Bts_Pillow_Mang,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
Bts_PillowCombo_Mang_fba,CSTE_0004_ST_Bts_Pillow_Mang,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
ST-bts-throw-pillow-mang_FBA,CSTE_0004_ST_Bts_Pillow_Mang,CSTE AMAZON,Active,Active Listing,,#REF!,https://m.media-amazon.com/images/I/71TStVZP+mL.jpg,,,,
Bts_Pillow_Mang2_fba,CSTE_0004_ST_Bts_Pillow_Mang,CSTE AMAZON,Active,Active Listing,,#REF!,https://m.media-amazon.com/images/I/71TStVZP+mL.jpg,,,,
ST_Mang_Bts_Blue,CSTE_0004_ST_Bts_Pillow_Mang,CSTE AMAZON,Active,Active Listing,,#REF!,https://m.media-amazon.com/images/I/61S80JRdXPL.jpg,,,,
BTS_MANG,CSTE_0004_ST_Bts_Pillow_Mang,GL FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/xif0q/stuffed-toy/h/m/a/plush-throw-pillow-bts-bt21-throw-pillows-mang-30-rudrav-original-imagx9pq3zbpckm2.jpeg,,,,
mang_pillow_1,CSTE_0004_ST_Bts_Pillow_Mang,GL FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/l22724w0/shopsy-stuffed-toy/b/e/w/plush-throw-pillow-bts-bt21-throw-pillows-mang-rudrav-original-imagdhtgzfdv4zh9.jpeg,,,,
Bts_Softtoy_Mang2,CSTE_0004_ST_Bts_Pillow_Mang,CSTE FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/kx0q4y80/stuffed-toy/m/h/l/bts-softtoy-mang2-3-fusked-original-imag9kh9fqknach4.jpeg,,,,
FUSKED-BTS SOFT TOY PILLOW-MANG,CSTE_0004_ST_Bts_Pillow_Mang,CSTE FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/ks4yz680/stuffed-toy/g/s/5/stuffed-toy-mang-pillow-bts-bts-toys-10-fusked-original-imag5rh3zqfkw5za.jpeg,,,,
newmangsofttoys,CSTE_0004_ST_Bts_Pillow_Mang,CSTE MEESHO,Active,,,#REF!,https://images.meesho.com/images/products/70694106/uaccd.webp?width=256,,,,
BTS_MANG,CSTE_0004_ST_Bts_Pillow_Mang,Rudrav Meesho,In Progress,,,,,,,,
bts_mang_1,CSTE_0004_ST_Bts_Pillow_Mang,Rudrav Meesho,In Progress,,,,,,,,
MANG_PILLOW,CSTE_0004_ST_Bts_Pillow_Mang,Rudrav Meesho,In Progress,,,,,,,,
Throw Pillows (Shooky)-fba,CSTE_0005_ST_Bts_Pillow_Shooky,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
EM-6RRU-X5YL,CSTE_0005_ST_Bts_Pillow_Shooky,CSTE AMAZON,Active,Active Listing,,#REF!,https://m.media-amazon.com/images/I/71PW8JX7lOL.jpg,,,,
WO-PO6F-4V1U,CSTE_0005_ST_Bts_Pillow_Shooky,CSTE AMAZON,Active,Active Listing,,#REF!,https://m.media-amazon.com/images/I/71PW8JX7lOL.jpg,,,,
ST-Shooky- bts-brown-FBA,CSTE_0005_ST_Bts_Pillow_Shooky,CSTE AMAZON,Active,Active Listing,,#REF!,https://m.media-amazon.com/images/I/719L30MNF6L.jpg,,,,
ST-Shooky- bts-brown,CSTE_0005_ST_Bts_Pillow_Shooky,CSTE AMAZON,Active,Active Listing,,#REF!,https://m.media-amazon.com/images/I/71pjZP2SBsL.jpg,,,,
BTS_SHOOKY,CSTE_0005_ST_Bts_Pillow_Shooky,GL FK,Active,Active Listing,,#REF!,https://img1a.flixcart.com/image/50/50/l186t8w0/stuffed-toy/u/k/u/plush-throw-pillow-bts-bt21-throw-pillows-shooky-30-rudrav-original-imagcu98rnjtxqke.jpeg,,,,
