Product Name,msku,Opening Stock
BTS-Cooky-RJ,CSTE_0285_ST_Cooky_RJ,0
BTS-Koya-Shooky,CSTE_0286_ST_Koya_Shooky,0
BTS-van-tata,CSTE_0287_ST_van_tata,0
BTS-chimmy-tata,CSTE_0288_ST_chimmy_tata,0
BTS-Koya-Chimmy,CSTE_0289_ST_Koya_Chimmy,0
Harrypotter wand,CSTE_0290_OT_Harrypotter_wand,0
Hermoine wand,CSTE_0291_OT_Hermoine_wand,42
Dumbledore wand,CSTE_0292_OT_Dumbledore_wand,2
Lord Voldemort wand,CSTE_0293_OT_Voldemort_wand,49
Harrypotter new wand,CSTE_0294_OT_Harrypotter_new_wand,2
Snape wand,CSTE_0295_OT_Snape_wand,59
Merry go round Blue,CSTE_0296_MB_Merrygo_Blue,0
Merry go round Pink,CSTE_0297_MB_Merrygo_Pink,0
BTS-mang-Chimmy,CSTE_0298_ST_Mang_Chimmy,0
BTS-chimmy-cooky-koya-rj,CSTE_0299_ST_chimmy_cooky_koya_rj,0
BTS-Koya-RJ,CSTE_0300_ST_Koya_Rj,0
Mahogany 21 Notes Brown Kalimba,CSTE_0301_MB_Mahogany_21Notes_Brown,31
Mahogany 17 Notes Deer kalimba,CSTE_0302_MB_Mahogany_17_notes_Deer,8
Mahogany 17 Notes Brown kalimba,CSTE_0303_MB_Mahogany_17Notes_Brown,1
Mahogany 17 Notes Blue kalimba,CSTE_0304_MB_Mahogany_17Notes_Blue,0
Crystle 17 Notes Transparent kalimba,CSTE_0305_MB_Crystle_17Notes_Transparent,3
Sabrina 8 Notes Brown Kalimmba,CSTE_0306_MB_Sabrina_8Notes_Brown,15
Blue Fur SG,CSTE_0307_SG_Fur_Blue,0
Travel Organizer Pink ,CSTE_0308_Organizer_Travel_Pink,0
Travel Organizer LightBlue,CSTE_0309_Organizer_Travel_LightBlue,0
Travel Organizer Grey,CSTE_0310_Organizer_Travel_Grey,4
Travel Organizer Black,CSTE_0311_Organizer_Travel_Black,1
Travel Organizer Cream,CSTE_0312_Organizer_Travel_Cream,0
Makeup Organizer Pink,CSTE_0313_Organizer_Makeup_Pink,0
Makeup Organizer Black,CSTE_0314_Organizer_Makeup_Black,0
Makeup Organizer LightGreen,CSTE_0315_Organizer_Makeup_LightGreen,0
Makeup Organizer Purple,CSTE_0316_Organizer_Makeup_Purple,0
Raccoon Grey,CSTE_0317_ST_Raccoon_Grey,6
Square Black Shade SG,CSTE_0318_SG_Square_BlackShade,0
Harry Potter Round SG,CSTE_0319_SG_HarryPotter_Round,355
Strawberry Red,CSTE_0320_ST_StrawberryRed,0
Strawberry Pink,CSTE_0321_ST_StrawberryPink,0
Axolotl  Blue,CSTE_0322_ST_Axolotl_Blue,0
Axolotl Grey,CSTE_0323_ST_Axolotl_Grey,0
Axolotl Black,CSTE_0324_ST_Axolotl_Black,0
Apple Red,CSTE_0325_ST_Apple_Red,0
Apple Green,CSTE_0326_ST_Apple_Green,0
Watermelon RedBlack,CSTE_0327_ST_Watermelon_RedBlack,0
Watermelon RedYellow,CSTE_0328_ST_Watermelon_RedYellow,0
Squishmellow Orange,CSTE_0329_ST_Squishmellow_Orange,0
Light Harrypotter wand,CSTE_0330_Wands_Harrypotter_Light,80
Light Hermoine wand,CSTE_0331_Wands_Hermoine_Light,14
Light Lord Voldemort wand,CSTE_0332_Wands_LordVoldmort_Light,58
Light Dumbledore wand,CSTE_0333_Wands_Dumbledore_Light,89
Harrypotter wand Musicbox,CSTE_0334_Wands_Harrypotter_MusicBox,0
Hermoine wand Musicbox,CSTE_0335_Wands_Hermoine_MusicBox,0
Dumbledore wand Musicbox,CSTE_0336_Wands_Dumbledore_MusicBox,0
Lord Voldemort wand Musicbox,CSTE_0337_Wands_LordVoldemort_MusicBox,0
Harrypotter new wand Musicbox,CSTE_0338_Wands_Harrypotternew_MusicBox,0
Snape wand MusicBox,CSTE_0339_Wands_Snape_MusicBox,0
Harrypotter wand Sunglass,CSTE_0340_Wands_Harrypotter_Sunglass,0
Hermoine wand Sunglass,CSTE_0341_Wands_Hermoine_Sunglass,0
Dumbledore wand Sunglass,CSTE_0342_Wands_Dumbledore_Sunglass,0
Lord Voldemort wand Sunglass,CSTE_0343_Wands_Lord Voldmort_Sunglass,0
Harrypotter new wand Sunglass,CSTE_0344_Wands_Harrypotter New_Sunglass,0
Snape wand MusicBox Sunglass,CSTE_0345_Wands_Snape_Sunglass,0
Gold Black Square SG,CSTE_0346_SG_Square_GoldBlack,1
MerryChristmas DeerRed MB,CSTE_0347_MB_MerryChristmas_DeerRed,6
MerryChristmas TreeRed MB,CSTE_0348_MB_MerryChristmas_TreeRed ,0
FlyingUnicorn Print Swaddles Baby ,CSTE_0349_Swaddle_FlyingUnicorn _Print,0
harry potter light wand with MB,CSTE_0350_Wands_Harrypotter_light_MB,0
Snape light wand with MB,CSTE_0351_Wands_snape_Light_MB,0
voldemort light wand with MB,CSTE_0352_Wands_Voldemort_Light_MB,0
dumbledore light wand with MB,CSTE_0353_Wands_Dumbledore_light_MB,0
hermoine light wand with MB,CSTE_0354_Wands_Hermoine_light_MB,0
harry potter light wand with SG,CSTE_0355_Wands_Harrypotter_light_SG,0
Snape light wand with SG,CSTE_0356_Wands_snape_Light_SG,0
voldemort light wand with SG,CSTE_0357_Wands_Voldemort_Light_SG,0
dumbledore light wand with SG,CSTE_0358_Wands_Dumbledore_light_SG,0
hermoine light wand with SG,CSTE_0359_Wands_Hermoine_light_SG,0
Snape light wand with SG,CSTE_0360_Wands_Snape_light_SG,0
Oval White black Shade SG,CSTE_0361_SG_Oval_White_BlackShade,0
Oval Round Brown SG,CSTE_0362_SG_Oval_Round_Brown,0
Spy Black SG,CSTE_0363_SG_Spy_Black,14
Unicorn Print Swaddles Baby ,CSTE_0364_Swaddle_Unicorn_Print,13
Animals Print Swaddles Baby ,CSTE_0365_Swaddle_Animal_Print,0
